,gold_sents,oreo_pegasus_output_sents
426,"In 1964, a group of African American families filed this lawsuit in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]The plaintiffs claimed that the defendant Jefferson Parish School Board had violated their rights under the Equal Protection Clause of the Fourteenth Amendment by continuing to segregate the school system.[SENTMARKER]The Court granted injunctive relief, mandated desegregation of the school system, and required that the defendants use busing to speed up the integration process.[SENTMARKER]The injunction remained in place for several decades.[SENTMARKER]In 2007, the School Board sought to implement a magnet school program in the hopes of boosting academics and increasing school diversity.[SENTMARKER]The parties jointly moved to supplement the desegregation plan to include the magnet school program, and the Court issued Consent Orders in 2008-2009 that enabled the School Board's plans.[SENTMARKER]However, issues arose in the following years with the School Board's implementation of the plan.[SENTMARKER]The plaintiffs argued that the defendants were using the Consent Orders as a pretext to conceal attempts to continue a system of racially segregated schools.[SENTMARKER]After the Consent Orders expired, the parties reached a settlement agreement and the Court declared Jefferson Parish Schools unitary in 2011.","On August 10, 1971, the Dandridge Plaintiffs and the Jefferson Parish School Board (JPSB) filed this suit in the U.S. District Court for the Eastern District of Louisiana, 332 F.Supp.[SENTMARKER]590, alleging that the JPSB had violated the federal civil rights act by failing to desegregate its predominantly African-American school system.[SENTMARKER]The plaintiffs alleged that the school system was racially segregated.[SENTMARKER]The court ruled in favor of the plaintiffs and ordered the school district to implement a new desegregation plan.[SENTMARKER]In 2007, the parties filed a joint motion to supplement the desegregation plan with the use of magnet school programs as a voluntary desegregation methodology.[SENTMARKER]The parties jointly presented to the court a motion listing suggested modifications to existing orders.[SENTMARKER]The defendants used the consent order and these Advanced Academies and Magnet Schools as a pretext to conceal attempts to continue a system of racially segregated schools."
427,"This case involves a challenge to Caddo Parish School Board's decision to merge two all-black high schools: Booker T. Washington and Fair Park.[SENTMARKER]On May 5, 2017, parents of students at Fair Park alleged that this violated the Equal Protection Clause and a 1981 consent decree, and sought to enjoin the merger.[SENTMARKER]The plaintiffs ultimately stipulated that the consent decree was unrelated to the merger, and they voluntarily dismissed their claims.[SENTMARKER]The case is now closed.","On May 8, 2017, the Fair Park Alumni Association filed this suit against the Caddo Parish School Board in the U.S. District Court for the Western District of Louisiana.[SENTMARKER]The plaintiffs alleged that the School Board violated the Equal Protection Act by failing to comply with the terms and conditions of its contract with the plaintiffs.[SENTMARKER]The parties agreed to a temporary restraining order, and the plaintiffs filed a motion for a permanent restraining order on May 10, 2017.[SENTMARKER]On May 18, 2017, the court granted the defendants' motion for partial summary judgment and dismissed the case.[SENTMARKER]On May 20, 2017, the parties filed a joint motion to dismiss the case on the grounds that the plaintiffs had failed to show that the defendants had violated the terms of the contract.[SENTMARKER]The case is now closed."
428,"On Dec.[SENTMARKER]3, 1997, Barbara Grutter brought this class action in the U.S. District Court for the Eastern District of Michigan under 42 U.S.C. § 1983 against the University of Michigan Law School.[SENTMARKER]She claimed that, in denying her admission, the school discriminated against her on the basis of her race, and violated the Equal Protection Clause of the 14th Amendment.[SENTMARKER]The case made its way to the Supreme Court, which held that the law school's desire to obtain a ""critical mass"" of underrepresented minority students counted as a narrowly tailored use of race in its admissions process and was not unconstitutional.","This case was brought in the U.S. District Court for the Eastern District of Michigan by a female student who alleged that the University of Michigan Law School discriminated against her on the basis of her race, thereby violating her rights to equal protection under the Fourteenth Amendment.[SENTMARKER]The court held that the law school's use of race in its admissions decisions violated the Equal Protection Clause and Title VI of the Civil Rights Act of 1964.[SENTMARKER]The Supreme Court of the United States affirmed the lower court's decision."
429,"On Oct. 14, 1997, two applicants who had been denied admission to the University of Michigan at Ann Arbor brought this class action in the U.S. District Court for the Eastern District of Michigan under 42 U.S.C. § 1983 against the university.[SENTMARKER]The plaintiffs, represented by public interest counsel, claimed that the university's admissions policy treated race as a predominant factor in granting admission, and that they, as white applicants, had been discriminated against in violation of the Equal Protection Clause of the 14th Amendment.[SENTMARKER]The case went to the Supreme Court, which held that the school's admission policy that automatically awarded 20 points out of a possible 150 to underrepresented minorities was not narrowly tailored to achieve the compelling interest of diversity in education and so violated the Equal Protection Clause.","On October 14, 1997, two white applicants filed a lawsuit in the U.S. District Court for the Eastern District of Michigan alleging that The University of Michigan's admissions policy impermissibly utilized race as a factor in determining admissions in violation of the Equal Protection Clause of the Fourteenth Amendment to the Constitution.[SENTMARKER]The case was certified as a class action.[SENTMARKER]The Supreme Court held that the admissions program for the University's College of Literature, Arts, and Science was not narrowly tailored to achieve that compelling interest."
430,"On January 6, 2021, there was a violent insurrection and disruption of Congressional processes as members approved the results of the Electoral College in order to elect the next President and Vice President of the United States.[SENTMARKER]On February 16, 2021, a U.S. Representative, in his personal capacity, sued the President of the United States in his personal capacity, the President’s personal lawyer, Proud Boys International, and Oath Keepers under the Ku Klux Klan Act alleging that the defendants plotted, coordinated, and executed a common plan to prevent Congress from certifying the results of the 2020 presidential election.[SENTMARKER]This case has been assigned to Judge Amit P. Mehta and is ongoing.","On January 6, 2021, a member of Congress filed this suit in the U.S. District Court for the District of Columbia against Donald J. Trump, Rudy Giuliani, Proud Boys, and Oath Keepers alleging violation of the Ku Klux Klan Act 133.[SENTMARKER]The suit alleged that the defendants conspired to prevent Congress from discharging its duty commanded by the United States Constitution to approve the results of the Electoral College in order to elect the next President and Vice President.[SENTMARKER]The defendants allegedly plotted, coordinated, and executed a common plan to prevent congressional approval of the presidential election results."
431,"On June 8, 2012, individual and organizational plaintiffs challenged Florida's voter purge procedures in U.S. District Court in Florida's Middle District, Tampa Division.[SENTMARKER]The plaintiffs, represented by the national and Florida ACLU, private counsel, and the Lawyers' Committee for Civil Rights Under Law, claimed such procedures violated their rights under the Voting Rights Act, 42 U.S.C. §1973c.[SENTMARKER]This case was dismissed with prejudice on July 24, 2013 in accordance with the Supreme Court's decision in Shelby County v Holder.","The ACLU Foundation of Florida, Inc., the ACLU Voting Rights Project, and the Lawyers' Committee for Civil Rights Under Law filed this suit in the U.S. District Court for the Middle District of Florida on June 1, 2012 against the Secretary of State and the Florida Division of Elections.[SENTMARKER]The plaintiffs alleged that Florida's new voter purge procedures were in violation of Section 5 of the Voting Rights Act and the National Voter Registration Act.[SENTMARKER]The case was dismissed on June 24, 2013 with prejudice."
432,"Two third-party nominees for the Georgia State House of Representatives filed this case alleging that, in light of public health risks associated with COVID-19, requiring them to collect over 20,000 signatures to get on the ballot violated the First and Fourteenth Amendments.[SENTMARKER]On July 9, the court ordered the defendants to reduce the relevant signature requirements by 30% for the 2020 general election.","In 2010, a group of Georgia residents filed suit in the U.S. District Court for the Northern District of Georgia, alleging that Georgia's ballot access restrictions unconstitutionally burden their rights under the First and Fourteenth Amendments.[SENTMARKER]The plaintiffs' complaint alleged that the state's signature-gathering requirements increased their burden.[SENTMARKER]The court ordered the Secretary of State to reduce the relevant signature requirements by 30% for the 2020 general election."
433,"This is a class-action suit brought by a nonprofit organization and an individual against the state of Georgia to challenge the state’s requirement to purchase postage stamps for mail-in ballots.[SENTMARKER]The plaintiffs sought declaratory and injunctive relief requiring election officials to provide prepaid returnable envelopes for absentee ballots and absentee ballot applications.[SENTMARKER]On April 30, the preliminary injunction was denied for the June primaries and on August 11, the plaintiffs’ motion for preliminary injunction was denied as to Count I of the amended complaint, and which was accordingly dismissed.","On June 12, 2014, a group of Georgia residents filed this lawsuit in the U.S. District Court for the Northern District of Georgia against the State of Georgia, the Secretary of State's Office, and the counties of Georgia.[SENTMARKER]The plaintiffs sought declaratory and injunctive relief, as well as a permanent injunction requiring the defendants to provide prepaid returnable envelopes for absentee ballots and absentee ballot applications.[SENTMARKER]The defendants opposed the plaintiffs' motion for preliminary injunction, which was denied.[SENTMARKER]The district court granted the plaintiffs’ motion for a preliminary injunction on July 10, 2014."
434,"This suit was brought on May 19, 2020, by two non-profit organizations and three voter plaintiffs against the state of Louisiana to challenge Louisiana’s Excuse Requirement, Witness Requirement, and Cure Prohibition.[SENTMARKER]The plaintiffs sought declaratory and injunctive relief enjoining the defendants from enforcing the Excuse and Witness Requirement, as well as provide absentee voters with notice and opportunity to cure defects in their absentee ballots for all elections in 2020 held in Louisiana.[SENTMARKER]On June 22, the court dismissed the case.","On June 4, 2020, the plaintiffs filed this lawsuit in the U.S. District Court for the Western District of Louisiana, seeking declaratory and injunctive relief respecting Louisiana’s voting regulations in light of COVID-19 (the ""Virus"").[SENTMARKER]The plaintiffs alleged that the state's failure to provide absentee voters notice and an opportunity to cure defects in their absentee ballot request forms and their absentee ballots so they may be counted will disenfranchise Louisiana voters.[SENTMARKER]The plaintiffs also alleged that Louisiana's Excuse Requirement, Witness Requirement, and Cure Prohibition violated their constitutional rights."
435,"On April 22, four individuals facing a heightened risk of contracting COVID-19 and the Family Unit, a non-profit organization, filed an action against the enforcement of South Carolina’s witness requirement applied to absentee voters, and the excuse requirement applied in order to vote by an absentee ballot.[SENTMARKER]On May 12, the South Carolina General Assembly passed legislation allowing all qualified South Carolina voters to vote by absentee ballot for the June primaries.[SENTMARKER]On May 25, the court granted the plaintiffs’ preliminary injunction motions in part, pertaining to the witness requirement.[SENTMARKER]On September 18, the Witness Requirement was enjoined for the November 2020 General Election in a separate case, and the district court stayed the case.[SENTMARKER]The defendants sought reconsideration.[SENTMARKER]The case is ongoing.","On May 12, 2020, the South Carolina General Assembly passed legislation allowing all qualified voters to vote absentee ballot for the June 9, 2020 primary and the June 23, 2020 runoff election due to the current state of emergency.[SENTMARKER]On September 15, 2020, the court in a separate case enjoined the witness requirement for all South Carolina voters in the upcoming November 2020 General Election."
436,"In 2011 voters in Wisconsin filed this lawsuit in the US District Court for the Eastern District of Wisconsin.[SENTMARKER]The plaintiffs alleged that their fundamental right to vote had been violated by Act 23, Wisconsin's law implementing a voter ID requirement.[SENTMARKER]After much litigation, in 2016 a judge granted a preliminary injunction allowing voters without IDs to sign an affidavit in place of the ID requirement for the 2016 presidential election.[SENTMARKER]The state appealed the injunction to the Seventh Circuit.[SENTMARKER]The Seventh Circuit stayed the injunction pending the appeal.[SENTMARKER]As of December 2019, the appeal remained pending in the Seventh Circuit.","In 2011, a group of Wisconsin voters filed suit in the U.S. District Court for the Eastern District of Wisconsin, alleging that Wisconsin's voter ID law violated their fundamental right to vote.[SENTMARKER]The plaintiffs suggested that the defendants could allow eligible voters without photo IDs to vote without showing an ID or by signing an affidavit affirming their identities and lack of an ID.[SENTMARKER]As of the date of this decision, one of the injunctions remains in effect and both cases are pending in the Wisconsin Supreme Court.[SENTMARKER]The standard for granting a stay pending appeal mirrors that for a preliminary injunction."
437,"On June 21, 2016, individuals who had been forced to pay a $50 ""extension fee"" for inability to pay their monetary penalties in full, or go to gail for non-payment of court fines and costs, brought a putative class action lawsuit in the District Court for the Eastern District of Louisiana.[SENTMARKER]The plaintiffs sued the Bogalusa City Court and the sole judge who sits on the Bogalusa City Court, under 42 U.S.C. § 1983 alleging that the defendants (1) systematically jail and threaten to jail individuals who cannot pay fines and court costs that fund the city court; and (2) have created an illegal extension fee to generate additional revenue.[SENTMARKER]Shortly after U.S. District Court Judge Ivan L.R.[SENTMARKER]Lemelle denied the plaintiffs' motion for a temporary restraining order, and held their request for a preliminary injunction in abeyance, the parties decided to explore settlement options.[SENTMARKER]They filed a stipulated agreement with the District Court, which was granted.","On June 21, 2016, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Louisiana against Judge Robert J. Black of the Bogalusa City Court in Louisiana.[SENTMARKER]The plaintiffs alleged that the City Court was violating the Constitution by charging a $50 extension fee to individuals unable to pay their fines and court costs.[SENTMARKER]The court denied the plaintiffs' request for a TRO, set a preliminary injunction for a hearing on July 13, 2016, and set a briefing schedule."
438,"On October 31st, 2016, a group of Plaintiffs who had been jailed for their inability to pay fines owed to the City of Florissant, Missouri for traffic tickets or other minor municipal offenses, sued the City for this violation of due process.[SENTMARKER]This case is still in the discovery stage and has been ongoing for four years.","This case was brought by a group of impoverished Missourians who were jailed by the City of Florissant because they were unable to make a monetary payment to the City arising from traffic tickets or other minor municipal offenses.[SENTMARKER]The plaintiffs filed this suit in the U.S. District Court for the Eastern District of Missouri.[SENTMARKER]The suit alleged that the defendants violated the due process and due process rights of the plaintiffs by failing to provide them with adequate housing, food, and medical care.[SENTMARKER]The defendants also violated the defendants' right to a fair trial by denying the plaintiffs access to the court.[SENTMARKER]The case was settled in June 2014 and the defendants agreed to pay the plaintiffs over $3,000."
439,"On June 20, 1989, foster care children of the District of Columbia filed a lawsuit in the U.S. District Court for the District of Columbia against the Department of Human Services.[SENTMARKER]The plaintiffs, represented by Children's Rights and the ACLU, asked the court to order improved policies related to protective services, family preservation and preventive services, child placement, case reviews, adoptions, and staffing, among other issues, claiming violations of 42 U.S.C. § 1983, the Adoption Assistance and Child Welfare Act of 1980 (AACWA), the Child Abuse Prevention and Treatment Act, the District of Columbia Prevention of Child Abuse and Neglect Act of 1977, the Child Abuse Prevention and Treatment Act, and the District of Columbia Youth Residential Facilities Licensor Act of 1986.[SENTMARKER]Specifically, the plaintiffs claimed that caseloads were too large, leaving many children in the foster care system for far too long with unresolved cases.[SENTMARKER]Additionally, the complaint alleged inappropriate placements for children and inadequate efforts to return children home.[SENTMARKER]In 1993, Judge Thomas F. Hogan approved a consent decree directing DHS to develop policies and procedures to rectify the system.[SENTMARKER]After many years of oversight, and periodic contempt orders, the system has gradually improved.[SENTMARKER]However, there is still a monitor in place reporting on the progress of the Child and Family Services Agency (CFSA) created as a result of this case.","This case was brought by the Center for the Study of Social Policy with the Office of the Mayor and the Child and Family Services Agency of the District of Columbia and Children’s Rights, Inc. against the governor of Arkansas and the director of the state’s Department of Human Services.[SENTMARKER]The plaintiffs alleged that the District was violating the Constitution, the Adoption Assistance and Child Welfare Act of 1980, 42 U.S.C.  620-628, 670-679, and the Prevention of Child Abuse and Neglect Act of 1977 and the Youth Residential Facilities Licensure Act of 1986.[SENTMARKER]The district court granted the plaintiffs' motion for partial summary judgment in favor of the plaintiffs."
440,"On 2017, foster parents and three states filed a suit challenging the constitutionality of the Indian Child Welfare Act (the ""ICWA"").[SENTMARKER]Plaintiffs allege the ICWA violates the Equal Protection Clause and anti-commandeering principles.[SENTMARKER]The district court held the ICWA is unconstitutional which was partially affirmed in a fractured en banc opinion by the Fifth Circuit.[SENTMARKER]The case is ongoing.","This case is about the constitutionality of the Indian Child Welfare Act (the ""ICWA""), and the accompanying regulations (codified at 25 C.F.R pt.[SENTMARKER]1977) (en banc) in the U.S. District Court for the District of Massachusetts.[SENTMARKER]The court held that the ICWA violated the equal protection component of the Fifth Amendment.[SENTMARKER]The district court held it did so for three reasons."
441,"California recipients of Adult Day Health Care services brought this class action to enjoin California from reducing or eliminating the ADHC program, which would put the plaintiffs at risk of institutionalization.[SENTMARKER]The U.S. District Court for the Northern District of California granted the plaintiff class a preliminary injunction in September 2009, forbidding California to modify it's adult Day Health Care program until an appropriate alternative could be provided to prevent institutionalization of individuals in the plaintiffs' class.[SENTMARKER]The District Court approved a settlement agreement that created a new program which will help to prevent the institutionalization of ADHC beneficiaries.","On September 10, 2014, a class action was filed in the U.S. District Court for the Northern District of California on behalf of residents of the Adult Day Health Care Program (ADHC) against the state of California.[SENTMARKER]The plaintiffs alleged that the state had violated the ADHC program's enabling 19 statute by cutting funding for home health aide and nursing services, which would place them at risk of institutionalization, until individualized 16 assessments could be made of their specific needs for services.[SENTMARKER]The court granted the plaintiffs' motion for a preliminary injunction, which was granted on September 10.[SENTMARKER]The parties agreed to a settlement in which the state agreed to continue funding the program."
442,"Two individuals who use wheelchairs for mobility sued the City of Steamboat Springs, for having inaccessible public transportation and facilities.[SENTMARKER]The parties entered into a consent decree requiring the city to make its services and facilities accessible, pay attorneys' fees and costs, and pay $12,250 to the plaintiffs.","The City of Steamboat Springs, Colorado was sued in the U.S. District Court for the District of Colorado for violating the Americans with Disabilities Act (ADA) by failing to make its public transportation system readily accessible to and usable by persons who use wheelchairs.[SENTMARKER]The case was brought by two individuals who were unable to attend events at the Howelsen Hill ski jump outrun, a location that is inaccessible to persons who are wheelchair-bound.[SENTMARKER]The defendants agreed to pay the plaintiffs’ reasonable attorney’s fees and costs.[SENTMARKER]The parties entered into an agreement in which the defendants agreed that they would not assert that the individual plaintiffs were not prevailing parties."
443,"Plaintiffs were disabled individuals who sued the Colorado Rockies baseball club after it removed accessible seats in Coors Field and raised prices on others.[SENTMARKER]There was a trial held, after which the court dismissed all claims by stipulation.[SENTMARKER]It is unclear, however, whether the parties settled.",The City of Lowell filed this suit against the Colorado Rockies in the U.S. District Court for the District of Massachusetts on behalf of disabled baseball fans who purchased accessible seats at Coors Field.[SENTMARKER]The plaintiffs alleged that the defendants violated the Americans with Disabilities Act (ADA) by raising the price of the accessible seats from approximately $100 to approximately $100 per game.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment.
444,"On April 29, four individuals with disabilities and Disability Rights New York filed a complaint against Andrew Cuomo, the Governor of New York State.[SENTMARKER]The plaintiffs alleged that the absence of live televised American Sign Language (ASL) interpretation in Governor Cuomo’s daily televised briefings on COVID-19 discriminated against populations with disabilities residing in New York by failing to provide a live ASL interpreter.[SENTMARKER]The plaintiffs sought declaratory and injunctive relief, declaring the lack of ASL interpretation as a violation under the ADA and the Rehabilitation Act.[SENTMARKER]The plaintiffs also sought a TRO and preliminary injunction requiring the defendant to immediately include live in-frame ASL interpretation for all briefings addressed to New York residents.[SENTMARKER]The preliminary injunction was granted on May 11, and the defendant was ordered to immediately implement live, in-frame ASL interpretation for his daily press briefings.[SENTMARKER]The case is ongoing.","On March 24, 2020, four deaf individuals and Disability Rights New York (DRNY) filed a lawsuit in the U.S. District Court for the Southern District of New York against New York Governor Andrew M. Cuomo, alleging that he violated the Americans with Disabilities Act (ADA) and Section 504 of the Rehabilitation Act (RA) by failing to provide live in-frame American Sign Language (ASL) interpretation for all of his press briefings.[SENTMARKER]DRNY's complaint alleged that the plaintiffs were individuals with disabilities and that the Governor's failure to comply deprived them of effective communication in violation of the ADA and RA.[SENTMARKER]On May 11, 2020, the Court granted the plaintiffs' motion for a preliminary injunction and ordered the Governor to implement in-Frame ASL interpretation during his daily press briefings on his official website."
445,"On April 8, 2014, the Civil Rights Division of the U.S. Department of Justice filed a lawsuit in the U.S. District Court for the District of Rhode Island alleging that Rhode Island violated the ADA by segregating individuals with intellectual and developmental disabilities in sheltered workshops and facility-based day programs that denied them the opportunity to associate with those who did not have a disability.[SENTMARKER]On April 9, 2014, the District Court approved a Consent Decree where Rhode Island agreed to, among other things, provide employment planning services to individuals with developmental and intellectual disabilities designed to encourage and assist them in working in integrated working environments, provide state support and services for those working in integrated settings and those making the transition to those settings, programs to educate relevant individuals about the programs and benefits that the Rhode Island offers to those working in integrated settings.[SENTMARKER]Rhode Island must also implement policies regarding the services required by the Consent Decree, train its personnel in the new procedures and working with individuals with disabilities, and Rhode Island must help sheltered workshops change their structure to become integrated working environments.","On April 9, 2014, the U.S. Department of Justice, Civil Rights Division, filed this consent decree in the United States District Court for the District of Rhode Island against the State of Rhode island.[SENTMARKER]The complaint alleged that the state violated the Americans with Disabilities Act (ADA) by failing to provide individuals with intellectual and developmental disabilities (IDD) with the employment and day services necessary to allow them the opportunity to work in integrated settings and to participate in activities of their choosing when they are not working.[SENTMARKER]The parties agreed to a consent decree that required the state to establish and implement policies regarding employment for people with disabilities policies that presume that all individuals covered by the consent decree are capable of working in integrated employment settings.[SENTMARKER]The consent decree also required the State to implement an effective plan to transition individuals unnecessarily segregated in sheltered workshops and facility-based day programs to integrated employment and community settings in the community.[SENTMARKER]On July 11, 2014, the parties reached an agreement to modify required outcomes related to two provisions."
446,"In this case, a third-grader plaintiff who had autism and ADHD filed suit against the Kanawha County Schools system under the IDEA, the Rehabilitation Act, Title II of the ADA, the West Virginia Human Rights Act, and West Virginia Policy 2419.[SENTMARKER]The elementary school student had been subject to disciplinary removal from the classroom and his district had failed to provide the behavioral supports and programming required by law.[SENTMARKER]The case is ongoing.",This case was brought by a child with disabilities under the West Virginia Human Rights Act (W.Va.[SENTMARKER]HRA) and Title II of the ADA.[SENTMARKER]The child's complaint alleged that Kanawha County Schools (KCS) failed to provide him with needed behavior supports.
447,"In October 2016, a group of Flint schoolchildren (via their parents) sued the state of Michigan and the school district in the U.S. District Court for the Eastern District of Michigan, alleging that the state of Michigan and local educators are in violation of federal law by not screening to identify students who need special education services and violating the rights of students with disabilities in the imposition of school discipline.[SENTMARKER]In April 2018, the parties reached a partial settlement as to one of the plaintiffs' claims, but the rest are still in dispute.[SENTMARKER]The case is ongoing.","The plaintiffs filed this suit in the U.S. District Court for the Eastern District of Michigan on behalf of three children with disabilities in the Flint School District.[SENTMARKER]The plaintiffs alleged that the district's special education policies and practices violated the federal Individuals with Disabilities Education Act (IDEA) and the Individuals with Special Needs Act (OSN).[SENTMARKER]The plaintiffs sought injunctive relief, monetary relief, and other relief.[SENTMARKER]The district court granted the plaintiffs' motion for summary judgment, and the case is ongoing."
448,"On November 17, 2014, Students for Fair Admissions, Inc. filed a lawsuit in the United States District Court for the Middle District of North Carolina under The Civil Rights Act of 1964, against the University of North Carolina.[SENTMARKER]Plaintiff asked the court for declaratory and injunctive relief to prohibit the consideration of race in college admissions, claiming that UNC's current admissions policy discriminated against Asian American applicants.[SENTMARKER]The court denied summary judgement and, as of April 9th, 2020, the suit is ongoing.","On November 6, 2018, the U.S. District Court for the Middle District of North Carolina granted summary judgment in favor of the defendants in a case brought by Students for Fair Admissions, Inc. (SFFA), a North Carolina non-profit organization that seeks to end the use of race as a factor in college admissions.[SENTMARKER]The defendants are the University of the North Carolina (UNC) and the UNC-Chapel Hill.[SENTMARKER]SFFA's complaint alleged that the defendants violated the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution and Title VI of the Civil Rights Act of 1964 by using race in its undergraduate admissions process.[SENTMARKER]The parties agreed to settle the case for a total of $1 million.[SENTMARKER]The case is now closed."
449,Former students and an employee of Rhinebeck Central High School filed suit against the School District and the former principal alleging that the District had violated Title IX of the Education Amendment and the Equal Protection Clause of the Fourteenth Amendment by failing to rectify allegations that the principal had sexually harassed the female students.[SENTMARKER]The parties reached a Consent Decree in which the District agreed to implement anti-discrimination procedures.,"On August 29, 2003, private plaintiffs amended their complaint to include a claim against the Rhinebeck Central School District under the Fourteenth Amendment to the United States Constitution.[SENTMARKER]The private plaintiffs and the Government contend that District officials with authority to rectify the situation received actual notice of incidents in which Mawhinney sexually harassed the former student plaintiffs and other female students at the High School.[SENTMARKER]The parties agree that the time limits set forth throughout this Consent Decree may be extended upon mutual consent of the parties.[SENTMARKER]Any amendments or modifications to this consent decree must be in writing and signed by the parties ."
450,"A 16-year old transgender male student sued Kenosha Unified School District No. 1 (Kenosha) in the United States District Court for the Eastern District of Wisconsin on July 19, 2016, arguing that the school violated the Equal Protection Clause and Title IX by denying Plaintiff access to the boys’ restrooms.[SENTMARKER]The district court granted the plaintiff a preliminary injunction to use the boys' restroom throughout his senior year, which the Seventh Circuit upheld on May 30, 2017.[SENTMARKER]The parties settled on January 22, 2018.[SENTMARKER]The settlement required Defendant to pay Plaintiff $800,000, enjoined Defendant from prohibiting Plaintiff from using the boys’ restroom, and required the Defendant to notify all staff about the injunction.","On September 22, 2016, the plaintiff filed a lawsuit in the U.S. District Court for the Eastern District of Wisconsin against the Kenosha Unified School District, alleging that the district violated Title IX and the Equal Protection Clause by denying him access to the boys' restrooms.[SENTMARKER]The court granted the plaintiff's request for a preliminary injunction, requiring the district to provide the plaintiff with a copy of the district's anti-discrimination policy.[SENTMARKER]The district denied the request for an injunction, and the case was dismissed on October 2, 2017."
451,"On August 11, 2005 a group of African-Americans filed a consolidated amended complaint Wal-Mart Stores Inc. in United States District Court of the Eastern District of Arkansas.[SENTMARKER]The plaintiffs alleged that Wal-Mart discriminated against African-Americans in hiring of over-the-road truck drivers.[SENTMARKER]On May 16, 2007, the court certified a class of African Americans who had not been hired or had been deterred from applying for these jobs.[SENTMARKER]Discovery continued in preparation for trial and on January 13, 2009 the court denied the defendant's motions for decertification and summary judgment.[SENTMARKER]The parties thereafter reached a settlement that was approved by the court on March 5, 2009.[SENTMARKER]In the settlement Wal-Mart agreed to damages in the amount of $17,500,000 to be distributed to the named representatives, class members, and their attorneys.[SENTMARKER]It also agreed to provide EEO training, actively recruit minorities, impose benchmarks for hiring minority drivers, make specific job opportunities open to minorities, and engage in recordkeeping and reporting.","Nelson v. Wal-Mart Stores, Inc. United States District Court for the Eastern District of Arkansas, Eastern Division, January 13, 2009 .<n>African American persons who reside in the continental United States of America who have applied for employment as over-the-road truck drivers since September 22, 2001, and who have not been hired.[SENTMARKER]The Court's certified class, consisting of two sub-classes, included African American persons in the U.S. who were deterred or thwarted from applying for positions due toWal-Mart's challenged policies and practices.[SENTMARKER]On January 14, 2009, the Court entered orders denying WalMart's motions for summary judgment on the class claims, decertification, and to strike the testimony of the experts."
452,"This case was brought by female employees of Citigroup Global Markets against Citigroup Global Markets and its subsidiary, Smith Barney, seeking injunctive and declaratory relief and damages for the company's discriminatory practices against female employees.[SENTMARKER]This case was solved by a class-action settlement on August 13, 2008, resulting in relief granted.","This case was brought in the U.S. District Court for the Southern District of New York by a female employee of Smith Barney, a subsidiary of Citigroup, alleging that Smith Barney had a history of discriminating against female employees, 3 including female FAs.[SENTMARKER]The Plaintiff sought injunctive relief.[SENTMARKER]The Court granted the Plaintiff's motion for summary judgment, and the Plaintiff entered into a settlement agreement with Smith Barney.[SENTMARKER]The Settlement Agreement provides significant and valuable relief."
453,"On September 25, 2006, the Denver Field Office and the Phoenix District Office of the EEOC filed this lawsuit in the U.S. District Court for the District of Colorado.[SENTMARKER]The EEOC sued Moreland Auto Group, LLP under Title VII of the Civil Rights Act of 1964.[SENTMARKER]Two former female employees sought injunctive relief to enjoin the defendant from discriminating against employees based on gender or from retaliating against employees who complain about discrimination.[SENTMARKER]On August 22, 2008 Judge Edward J. Nottingham approved a settlement agreement that included a $70,000 fund to be dispersed amongst the claimants, and an injunction enjoining the defendants from gender-based discrimination.","On September 25, 2006, the U.S. District Court for the District of Colorado ruled in favor of the Equal Employment Opportunity Commission (EEOC) and Intervenors in a case brought by the EEOC against the Colorado Department of Public Health and Human Services (DPHHS) for sexual harassment, hostile work environment, and retaliation under Title VII of the Civil Rights Act of 1964, as amended.[SENTMARKER]The case was settled on August 22, 2008 by Judge Edward J. Nottingham, and the parties agreed to a permanent injunction."
454,"This case was brought by ten black current and former special agents of the United States Secret Service against the Secretary of the U.S. Department of Treasury and the Secretary of the U.S. Department of Homeland Security.[SENTMARKER]Plaintiffs sought equitable relief including back pay, front pay, compensatory damages, a declaratory judgment, and an injunction, alleging that the Secret Service discriminated against them on the basis of race in promotions as well as in transfers, assignments, testing, hiring, and disciplinary practices.[SENTMARKER]The court approved a settlement agreement that awarded $24 million in damages, $8 million in attorney's fees, and $860,000 in costs.[SENTMARKER]The agreement will remain in place until 2021.","This case was brought by ten African-American current and former special agents of the United States Secret Service against the Secretary of the Department of Homeland Security.[SENTMARKER]The plaintiffs alleged that the Secret Service discriminated against them on the basis of race in hiring, testing, and hiring.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment, and the case was dismissed.[SENTMARKER]The case is now closed."
